Frequency (Hz);Amplitude (V);Phase (deg)
31146.32778678486; 2.62460955204e-08; 82.2784348726
31146.65977961497; 2.86474609322e-08; 81.0697757742
31146.99177244508; 2.57396143062e-08; 81.2833093782
31147.3237652752; 2.71720918868e-08; 84.8214909128
31147.65575810531; 2.83780579721e-08; 83.0519764959
31147.98775093543; 3.0418671771e-08; 82.487413138
31148.31974376554; 2.82068931803e-08; 83.7999384279
31148.65173659566; 3.00416117106e-08; 77.1326107341
31148.98372942577; 2.97555756201e-08; 78.7726873542
31149.31572225588; 3.11452703103e-08; 81.7900386901
31149.647715086; 3.00091687e-08; 81.1307592908
31149.97970791611; 3.04929227429e-08; 83.0004728409
31150.31170074623; 2.99125721499e-08; 77.6202031667
31150.64369357634; 3.1507978395e-08; 81.8345811783
31150.97568640646; 3.16673102249e-08; 79.4495157599
31151.30767923657; 3.49607670649e-08; 79.48546847
31151.63967206669; 3.25246747728e-08; 80.6606578043
31151.9716648968; 3.32287345064e-08; 82.0273248169
31152.30365772692; 3.36082116653e-08; 78.4244084141
31152.63565055703; 3.64471935098e-08; 76.5547524833
31152.96764338714; 3.59014228003e-08; 79.0046142719
31153.29963621726; 3.60286535195e-08; 77.4507184577
31153.63162904737; 3.67400636472e-08; 81.2166990225
31153.96362187749; 3.66169412726e-08; 80.2007193096
31154.2956147076; 3.71635863411e-08; 79.6966940029
31154.62760753772; 3.69216136289e-08; 78.6033390975
31154.95960036783; 3.78235624737e-08; 79.2236227025
31155.29159319794; 4.14690681736e-08; 78.4538189623
31155.62358602806; 4.27149393537e-08; 76.6801411069
31155.95557885817; 4.13424881437e-08; 79.8567521373
31156.28757168829; 4.40137027065e-08; 76.2255495051
31156.6195645184; 4.45781676757e-08; 77.6353657651
31156.95155734852; 4.59580790077e-08; 77.0220327222
31157.28355017863; 4.4864064599e-08; 75.1528832604
31157.61554300875; 4.62099857604e-08; 75.2542721075
31157.94753583886; 4.75065733631e-08; 75.6908680262
31158.27952866897; 4.80532174684e-08; 73.5332828318
31158.61152149909; 5.05093131312e-08; 74.8775945812
31158.9435143292; 5.27543191248e-08; 71.9528955843
31159.27550715932; 5.13880623912e-08; 71.1384252081
31159.60749998943; 5.44471059684e-08; 72.6664518933
31159.93949281955; 5.47469251436e-08; 71.0111101487
31160.27148564966; 5.73007058856e-08; 69.6617367372
31160.60347847977; 5.73571338748e-08; 70.5679539158
31160.93547130989; 6.16642625222e-08; 70.8158659922
31161.26746414; 6.02740901572e-08; 69.9462606127
31161.59945697012; 6.43827850626e-08; 69.2493618895
31161.93144980023; 6.59884744671e-08; 68.3226619576
31162.26344263035; 6.81105564667e-08; 67.5218324127
31162.59543546046; 7.13130528911e-08; 67.1023279515
